Date,CloudProvider,Service,ResourceID,Cost,Currency,Region,UsageType,AccountID,Tags
2025-03-15,AWS,EC2,i-0a1b2c3d4e5f6a7b8,2.45,USD,us-east-1,BoxUsage:m5.large,111222333444,"env:prod;project:alpha"
2025-03-15,AWS,S3,alpha-prod-data-bucket,0.15,USD,us-east-1,TimedStorage-ByteHrs,111222333444,"env:prod;project:alpha"
2025-03-15,AWS,RDS,db-prod-alpha-instance,5.60,USD,us-east-1,InstanceUsage:db.t3.medium,111222333444,"env:prod;project:alpha"
2025-03-15,AWS,EC2,i-0b9c8d7e6f5a4b3c2,1.80,USD,eu-west-1,BoxUsage:t3.medium,555666777888,"env:dev;project:beta"
2025-03-15,AWS,Lambda,beta-dev-function-1,0.02,USD,eu-west-1,Requests,555666777888,"env:dev;project:beta"
2025-03-16,AWS,EC2,i-0a1b2c3d4e5f6a7b8,2.46,USD,us-east-1,BoxUsage:m5.large,111222333444,"env:prod;project:alpha"
2025-03-16,AWS,S3,alpha-prod-data-bucket,0.16,USD,us-east-1,TimedStorage-ByteHrs,111222333444,"env:prod;project:alpha"
2025-03-16,AWS,RDS,db-prod-alpha-instance,5.61,USD,us-east-1,InstanceUsage:db.t3.medium,111222333444,"env:prod;project:alpha"
2025-03-16,AWS,EC2,i-0b9c8d7e6f5a4b3c2,1.81,USD,eu-west-1,BoxUsage:t3.medium,555666777888,"env:dev;project:beta"
2025-03-16,AWS,Lambda,beta-dev-function-1,0.03,USD,eu-west-1,GB-Second,555666777888,"env:dev;project:beta"
2025-03-16,AWS,VPC,vpc-alpha-prod,0.05,USD,us-east-1,NatGateway-Hours,111222333444,"env:prod;project:alpha"
2025-03-17,AWS,EC2,i-0a1b2c3d4e5f6a7b8,2.45,USD,us-east-1,BoxUsage:m5.large,111222333444,"env:prod;project:alpha"
2025-03-17,AWS,S3,alpha-prod-data-bucket,0.15,USD,us-east-1,TimedStorage-ByteHrs,111222333444,"env:prod;project:alpha"
2025-03-17,AWS,CloudWatch,alpha-monitoring,0.50,USD,us-east-1,MetricStorage,111222333444,"env:prod;project:alpha"
2025-03-17,AWS,EC2,i-0c7d6e5f4a3b2c1d0,3.10,USD,ap-south-1,BoxUsage:c5.xlarge,111222333444,"env:staging;project:gamma"
2025-03-18,AWS,EC2,i-0a1b2c3d4e5f6a7b8,2.46,USD,us-east-1,BoxUsage:m5.large,111222333444,"env:prod;project:alpha"
2025-03-18,AWS,S3,alpha-dev-temp-bucket,0.01,USD,us-east-1,TimedStorage-ByteHrs,555666777888,"env:dev;project:temp"
2025-03-18,AWS,Route53,example.com,0.50,USD,global,HostedZone,111222333444,"env:prod;project:shared"
2025-03-19,AWS,EC2,i-0b9c8d7e6f5a4b3c2,1.80,USD,eu-west-1,BoxUsage:t3.medium,555666777888,"env:dev;project:beta"
2025-03-19,AWS,Lambda,beta-dev-function-1,0.02,USD,eu-west-1,Requests,555666777888,"env:dev;project:beta"
2025-03-20,Azure,VirtualMachine,vm-prod-win-1,3.10,USD,East US,Standard_D2s_v3,sub-prod-01,"app:legacy;dept:finance"
2025-03-20,Azure,BlobStorage,prodlegacystorage,0.25,USD,East US,BlockBlobStorage,sub-prod-01,"app:legacy;dept:finance"
2025-03-21,GCP,ComputeEngine,gce-dev-instance-small,0.90,USD,us-central1,n1-standard-1,project-delta-dev,"owner:devteam"
2025-03-21,GCP,CloudStorage,delta-dev-assets,0.03,USD,us-central1,StandardStorage,project-delta-dev,"owner:devteam"
2025-03-22,AWS,EC2,i-0a1b2c3d4e5f6a7b8,2.45,USD,us-east-1,BoxUsage:m5.large,111222333444,"env:prod;project:alpha"
2025-03-22,AWS,RDS,db-prod-alpha-instance,5.60,USD,us-east-1,InstanceUsage:db.t3.medium,111222333444,"env:prod;project:alpha"
2025-03-23,AWS,EC2,i-0c7d6e5f4a3b2c1d0,3.11,USD,ap-south-1,BoxUsage:c5.xlarge,111222333444,"env:staging;project:gamma"
2025-03-23,AWS,EFS,fs-gamma-staging,0.75,USD,ap-south-1,TimedStorage-ByteHrs,111222333444,"env:staging;project:gamma"
2025-03-24,Azure,VirtualMachine,vm-prod-win-1,3.12,USD,East US,Standard_D2s_v3,sub-prod-01,"app:legacy;dept:finance"
2025-03-24,GCP,ComputeEngine,gce-dev-instance-small,0.91,USD,us-central1,n1-standard-1,project-delta-dev,"owner:devteam"
